gene_id,D4-1,D4-2,REH-1-WT,REH-2-WT
ENSG00000007520,483.91,574.94,316.00,237.00
ENSG00000007541,507.55,705.59,439.00,310.00
ENSG00000007545,1011.66,1300.53,784.17,649.79
ENSG00000007866,31.00,35.00,26.00,10.00
ENSG00000007908,0.00,0.00,0.00,0.00
ENSG00000007923,1204.39,1432.00,922.00,951.00
ENSG00000007933,1.01,0.00,0.00,0.00
ENSG00000007944,127.00,158.00,128.00,130.00
ENSG00000007952,2.00,2.00,1.00,7.00
ENSG00000007968,1692.84,2067.03,1726.48,1395.00
ENSG00000008018,1890.00,2256.00,1193.00,1166.00
ENSG00000008056,3.00,4.00,1.00,2.00
ENSG00000008083,961.00,1187.00,990.00,822.00
ENSG00000008086,80.17,118.72,98.52,71.87
ENSG00000008118,0.00,0.00,0.00,0.00
ENSG00000008128,543.25,717.12,356.34,379.72
ENSG00000008130,1332.00,1693.00,1233.00,1004.00
ENSG00000008196,0.00,0.00,0.00,0.00
ENSG00000008197,0.00,0.00,0.00,0.00
ENSG00000008226,5.00,9.38,0.00,0.00
ENSG00000008256,664.00,828.00,435.00,342.00
ENSG00000008277,169.00,204.00,135.00,160.00
ENSG00000008282,723.00,897.00,492.00,489.00
ENSG00000008283,27.16,40.65,4.00,11.00
ENSG00000008294,1099.95,1539.61,806.67,718.44
ENSG00000008300,73.00,102.00,28.00,45.00
ENSG00000008311,390.07,515.27,313.71,228.43
ENSG00000008323,1.00,2.00,5.00,0.00
ENSG00000008324,143.14,160.00,115.00,78.00
ENSG00000008382,207.00,226.00,161.00,139.00
ENSG00000008394,2.67,4.65,1.00,0.00
ENSG00000008405,304.00,368.00,281.00,229.00
ENSG00000008438,1.00,3.00,3.00,1.00
ENSG00000008441,802.00,905.00,756.00,663.00
ENSG00000008513,868.00,1148.45,319.00,268.00
ENSG00000008516,17.09,29.20,8.27,12.45
ENSG00000008517,0.00,1.00,0.00,0.00
ENSG00000008710,2091.05,2962.04,1586.08,1276.58
ENSG00000008735,130.81,149.72,75.00,42.00
ENSG00000008838,1473.00,1856.09,962.00,945.00
ENSG00000008853,196.57,223.07,76.06,90.42
ENSG00000008869,494.00,628.00,370.00,318.00
ENSG00000008952,963.00,1204.06,718.00,750.00
ENSG00000008988,7666.20,8943.81,5932.74,5051.39
ENSG00000009307,7135.00,8639.01,5498.00,4906.00
ENSG00000009335,1179.00,1472.17,905.99,707.00
ENSG00000009413,815.74,1019.67,888.56,820.97
ENSG00000009694,0.00,0.00,0.00,0.00
ENSG00000009709,6.00,6.00,0.00,0.00
ENSG00000009724,53.00,55.00,64.00,52.00
ENSG00000009765,7.68,12.29,3.19,1.16
ENSG00000009780,96.00,126.00,135.00,82.00
ENSG00000009790,404.73,554.36,171.62,130.14
ENSG00000009830,226.79,294.74,189.00,192.00
ENSG00000009844,827.99,1020.31,684.00,753.00
ENSG00000009950,17.47,18.53,9.33,9.68
ENSG00000009954,4240.00,5043.00,3911.00,3336.00
ENSG00000010017,827.04,1022.78,662.00,700.36
ENSG00000010030,37.00,38.00,40.00,36.00
ENSG00000010072,222.40,259.53,179.39,172.64
ENSG00000010165,546.00,671.00,454.00,309.00
ENSG00000010219,86.25,115.67,59.63,54.00
ENSG00000010244,3798.03,4931.47,3579.56,3259.01
ENSG00000010256,1095.00,1317.00,719.00,680.00
ENSG00000010270,416.00,537.00,325.00,293.00
ENSG00000010278,131.00,190.00,45.00,44.00
ENSG00000010282,0.00,0.00,0.00,0.00
ENSG00000010292,4618.39,5760.11,3247.93,2876.09
ENSG00000010295,531.00,602.10,313.00,235.00
ENSG00000010310,34.93,47.24,7.00,1.00
ENSG00000010318,82.00,117.00,52.00,46.00
ENSG00000010319,14.00,15.00,4.00,1.00
ENSG00000010322,796.00,918.00,469.00,375.00
ENSG00000010327,2.06,1.00,0.00,3.00
ENSG00000010361,307.76,392.00,268.56,188.64
ENSG00000010379,1.00,1.00,0.00,0.00
ENSG00000010404,620.47,778.79,448.88,377.50
ENSG00000010438,2.00,1.00,2.00,0.00
ENSG00000010539,253.15,287.96,196.00,179.01
ENSG00000010610,14.00,3.00,0.00,0.00
ENSG00000010626,69.98,73.54,31.47,27.00
ENSG00000010671,1768.00,2248.00,1153.00,939.00
ENSG00000010704,68.92,94.43,46.17,51.59
ENSG00000010803,592.88,695.89,660.00,666.00
ENSG00000010810,585.00,731.00,379.00,354.00
ENSG00000010818,1100.00,1385.72,597.00,455.00
ENSG00000010932,0.00,0.00,0.00,0.00
ENSG00000011007,254.73,315.31,233.53,195.22
ENSG00000011009,685.00,846.00,487.00,338.00
ENSG00000011021,689.90,957.38,363.33,299.19
ENSG00000011028,1007.66,1365.57,516.96,458.84
ENSG00000011052,291.87,347.01,107.47,220.14
ENSG00000011083,0.00,0.00,0.00,0.00
ENSG00000011105,526.00,754.00,330.00,244.00
ENSG00000011114,885.11,1050.11,845.74,720.15
ENSG00000011132,252.75,349.22,138.00,128.38
ENSG00000011143,358.00,443.99,231.00,220.00
ENSG00000011198,27.00,35.00,16.00,48.00
ENSG00000011201,0.00,0.00,0.00,2.00
ENSG00000011243,1260.91,1744.03,690.08,635.45
ENSG00000011258,983.00,1210.17,679.00,741.75
ENSG00000011260,879.00,1022.00,723.00,688.00
ENSG00000011275,1119.06,1344.77,916.00,753.00
ENSG00000011295,800.14,992.56,669.22,485.16
ENSG00000011304,7546.00,9138.00,6328.00,5945.00
ENSG00000011332,134.00,173.00,82.00,64.00
ENSG00000011347,0.00,0.00,0.00,0.00
ENSG00000011376,362.00,444.00,209.00,201.00
ENSG00000011405,485.04,633.21,365.00,375.00
ENSG00000011422,200.96,280.00,180.00,179.00
ENSG00000011426,1140.00,1368.00,771.00,667.00
ENSG00000011451,1292.00,1510.00,827.00,682.00
ENSG00000011454,1053.12,1295.44,717.00,776.00
ENSG00000011465,0.00,0.97,0.00,0.00
ENSG00000011478,211.22,266.33,95.01,78.03
ENSG00000011485,1978.00,2456.00,1420.74,1199.72
ENSG00000011523,466.72,584.21,277.15,309.47
ENSG00000011566,179.00,220.00,283.00,247.00
ENSG00000011590,24.00,22.00,5.00,4.00
ENSG00000011600,0.00,1.00,0.00,0.00
ENSG00000011638,267.93,401.78,155.00,129.00
ENSG00000011677,117.00,187.00,109.00,92.00
ENSG00000012048,1527.67,1897.31,1471.00,1222.05
ENSG00000012061,1087.68,1369.65,813.50,743.85
ENSG00000012124,5927.62,7337.66,2747.99,2299.68
ENSG00000012171,26.00,54.00,6.00,6.00
ENSG00000012174,248.42,342.04,149.42,161.60
ENSG00000012211,143.00,160.00,76.00,52.00
ENSG00000012223,0.00,3.00,0.00,0.00
ENSG00000012232,601.70,784.50,458.00,308.53
ENSG00000012504,0.00,0.00,0.00,0.00
ENSG00000012660,1970.00,2400.00,1424.00,1394.00
ENSG00000012779,119.00,202.00,142.00,155.00
ENSG00000012817,0.00,0.00,0.00,0.00
ENSG00000012822,701.00,991.00,347.00,368.00
ENSG00000012963,1662.00,2022.19,1602.00,1414.00
ENSG00000012983,670.00,844.11,491.00,544.00
ENSG00000013016,61.00,82.00,18.00,27.00
ENSG00000013275,1250.00,1562.00,845.00,766.00
ENSG00000013288,507.78,580.54,290.65,198.00
ENSG00000013293,12.98,8.38,3.24,3.22
ENSG00000013297,35.65,41.52,10.27,6.68
ENSG00000013306,1827.00,2355.88,1542.00,1321.00
ENSG00000013364,92.36,114.89,24.01,26.01
ENSG00000013374,1317.67,1569.46,854.91,776.84
ENSG00000013375,271.75,373.67,215.07,244.22
ENSG00000013392,72.99,85.36,43.00,44.00
ENSG00000013441,1472.00,1917.00,1009.00,1017.00
ENSG00000013503,276.00,360.00,245.00,194.00
ENSG00000013523,584.65,705.43,427.65,331.16
ENSG00000013561,393.44,473.54,286.86,232.10
ENSG00000013563,280.80,392.34,136.21,146.95
ENSG00000013573,1703.65,2345.95,1452.33,1214.26
ENSG00000013583,314.00,401.00,222.00,161.00
ENSG00000013588,6.36,2.00,0.00,3.00
ENSG00000013619,64.00,74.00,50.00,37.00
ENSG00000013725,0.00,1.96,0.00,0.00
ENSG00000013810,2838.00,3389.00,1990.00,1878.00
ENSG00000014123,464.00,533.00,363.00,310.00
ENSG00000014138,933.68,1228.37,951.52,785.57
ENSG00000014164,360.00,450.00,314.00,225.00
ENSG00000014216,1981.16,2492.33,851.00,875.00
ENSG00000014257,0.00,0.00,0.00,0.00
ENSG00000014641,1902.01,2394.21,1446.00,1318.00
ENSG00000014824,678.00,827.42,402.00,414.00
ENSG00000014914,5.00,7.00,0.00,7.00
ENSG00000014919,696.91,948.00,602.00,458.00
ENSG00000015133,1159.00,1625.00,656.00,549.00
ENSG00000015153,157.02,189.32,123.00,135.00
ENSG00000015171,333.00,389.00,197.00,220.00
ENSG00000015285,1210.00,1346.43,809.00,783.00
ENSG00000015413,517.00,659.00,7.00,12.00
ENSG00000015475,691.96,845.00,436.00,363.00
ENSG00000015479,5685.10,6881.31,5097.71,4621.13
ENSG00000015520,2.00,0.00,0.00,0.00
ENSG00000015532,317.06,414.01,223.00,148.00
ENSG00000015568,145.39,17.75,100.10,248.50
ENSG00000015592,0.00,0.00,0.00,0.00
ENSG00000015676,1057.00,1244.00,737.00,620.00
ENSG00000016082,0.00,0.00,0.00,0.00
ENSG00000016391,17.09,17.44,3.00,4.12
ENSG00000016402,0.00,0.00,0.00,0.00
ENSG00000016490,0.00,0.00,0.00,0.00
ENSG00000016602,0.00,0.00,0.00,0.00
ENSG00000016864,202.00,284.20,167.03,119.00
ENSG00000017260,736.31,870.96,638.00,456.31
ENSG00000017427,0.00,0.00,0.00,0.00
ENSG00000017483,880.00,1148.00,996.00,924.00
ENSG00000017797,1896.00,2304.00,1489.00,1147.00
ENSG00000018189,311.00,393.00,201.00,178.00
ENSG00000018236,0.00,0.00,0.00,0.00
ENSG00000018280,12.35,7.05,1.59,1.00
ENSG00000018408,4.00,7.19,0.00,1.00
ENSG00000018510,1168.00,1396.00,1105.00,913.00
ENSG00000018607,0.00,0.00,0.00,0.00
ENSG00000018610,346.76,423.50,312.63,218.97
ENSG00000018625,0.00,0.00,0.00,0.00
ENSG00000018699,209.00,314.00,174.00,139.00
ENSG00000018869,50.00,44.00,11.00,34.00
ENSG00000019102,0.00,4.00,0.00,10.00
ENSG00000019144,67.51,93.43,52.54,52.41
ENSG00000019169,0.00,0.00,0.00,0.00
ENSG00000019186,0.00,0.00,0.00,0.00
ENSG00000019485,75.00,104.75,73.00,57.00
ENSG00000019505,1.99,0.98,6.00,0.00
ENSG00000019549,0.00,0.00,0.00,0.00
ENSG00000019582,30087.00,35408.00,14183.00,12510.00
ENSG00000019991,2.00,0.00,0.00,0.00
ENSG00000019995,411.93,507.55,348.61,352.12
ENSG00000020129,480.00,612.00,395.00,372.00
ENSG00000020181,157.26,219.95,119.50,72.55
ENSG00000020219,0.00,2.00,0.00,2.00
ENSG00000020256,270.64,373.26,193.00,168.00
